CheeseId,ManufacturerProvCode,ManufacturingTypeEn,MoisturePercent,FlavourEn,CharacteristicsEn,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,CheeseName,FatLevel,Community,Weather station,Location,Elevation,January(Avg. high °C (°F)),January(Avg. low °C (°F)),July(Avg. high °C (°F)),July(Avg. low °C (°F)),Annual(Avg. high °C (°F)),Annual(Avg. low °C (°F)),ProvinceCode
228,NB,Farmstead,47.0,"Sharp, lactic",Uncooked,0,Firm Cheese,Ewe,Raw Milk,Washed Rind,Sieur de Duplessis (Le),lower fat,"Edmundston, NB",,47°20′47″N 068°11′16″W / 47.34639°N 68.18778°W / 47.34639; -68.18778 (Edmundston),163m (535ft),−7.1 (19.2),−18.5 (−1.3),24.7 (76.5),11.5 (52.7),9.5 (49.1),−2.3 (27.9),NB
228,NB,Farmstead,47.0,"Sharp, lactic",Uncooked,0,Firm Cheese,Ewe,Raw Milk,Washed Rind,Sieur de Duplessis (Le),lower fat,"Fredericton, NB",YFC,45°52′20″N 066°31′40″W / 45.87222°N 66.52778°W / 45.87222; -66.52778 (Fredericton),21m (69ft),−3.8 (25.2),−15.0 (5.0),25.5 (77.9),13.0 (55.4),11.4 (52.5),−0.2 (31.6),NB
228,NB,Farmstead,47.0,"Sharp, lactic",Uncooked,0,Firm Cheese,Ewe,Raw Milk,Washed Rind,Sieur de Duplessis (Le),lower fat,"Moncton, NB",YQM,46°06′19″N 064°41′02″W / 46.10528°N 64.68389°W / 46.10528; -64.68389 (Moncton),71m (233ft),−3.7 (25.3),−14.0 (6.8),24.7 (76.5),12.9 (55.2),10.7 (51.3),0.1 (32.2),NB
242,NB,Farmstead,47.9,"Sharp, lactic, lightly caramelized",Uncooked,0,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Tomme Le Champ Doré,lower fat,"Edmundston, NB",,47°20′47″N 068°11′16″W / 47.34639°N 68.18778°W / 47.34639; -68.18778 (Edmundston),163m (535ft),−7.1 (19.2),−18.5 (−1.3),24.7 (76.5),11.5 (52.7),9.5 (49.1),−2.3 (27.9),NB
242,NB,Farmstead,47.9,"Sharp, lactic, lightly caramelized",Uncooked,0,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Tomme Le Champ Doré,lower fat,"Fredericton, NB",YFC,45°52′20″N 066°31′40″W / 45.87222°N 66.52778°W / 45.87222; -66.52778 (Fredericton),21m (69ft),−3.8 (25.2),−15.0 (5.0),25.5 (77.9),13.0 (55.4),11.4 (52.5),−0.2 (31.6),NB
242,NB,Farmstead,47.9,"Sharp, lactic, lightly caramelized",Uncooked,0,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Tomme Le Champ Doré,lower fat,"Moncton, NB",YQM,46°06′19″N 064°41′02″W / 46.10528°N 64.68389°W / 46.10528; -64.68389 (Moncton),71m (233ft),−3.7 (25.3),−14.0 (6.8),24.7 (76.5),12.9 (55.2),10.7 (51.3),0.1 (32.2),NB
301,ON,Industrial,54.0,"Mild, tangy, and fruity","Pressed and cooked cheese, pasta filata, interiror ripened",0,Firm Cheese,Cow,Pasteurized,Not Specified,Provolone Sette Fette (Tre-Stelle),lower fat,"Ottawa, ON",YOW,45°19′21″N 075°40′09″W / 45.32250°N 75.66917°W / 45.32250; -75.66917 (Ottawa),114m (374ft),−5.8 (21.6),−14.8 (5.4),26.5 (79.7),15.5 (59.9),11.3 (52.3),1.4 (34.5),ON
301,ON,Industrial,54.0,"Mild, tangy, and fruity","Pressed and cooked cheese, pasta filata, interiror ripened",0,Firm Cheese,Cow,Pasteurized,Not Specified,Provolone Sette Fette (Tre-Stelle),lower fat,"Timmins, ON",YTS,48°34′11″N 081°22′36″W / 48.56972°N 81.37667°W / 48.56972; -81.37667 (Timmins),295m (968ft),−10.6 (12.9),−23.0 (−9.4),24.2 (75.6),10.7 (51.3),7.9 (46.2),−4.3 (24.3),ON
301,ON,Industrial,54.0,"Mild, tangy, and fruity","Pressed and cooked cheese, pasta filata, interiror ripened",0,Firm Cheese,Cow,Pasteurized,Not Specified,Provolone Sette Fette (Tre-Stelle),lower fat,"Toronto, ON",YYZ,43°40′38″N 079°37′50″W / 43.67722°N 79.63056°W / 43.67722; -79.63056 (Toronto),173m (568ft),−1.5 (29.3),−9.4 (15.1),27.1 (80.8),15.8 (60.4),13.0 (55.4),3.3 (37.9),ON
301,ON,Industrial,54.0,"Mild, tangy, and fruity","Pressed and cooked cheese, pasta filata, interiror ripened",0,Firm Cheese,Cow,Pasteurized,Not Specified,Provolone Sette Fette (Tre-Stelle),lower fat,"Windsor, ON",YQG,42°16′32″N 82°57′20″W / 42.27556°N 82.95556°W / 42.27556; -82.95556 (Windsor),190m (620ft),−0.3 (31.5),−7.3 (18.9),28.1 (82.6),17.9 (64.2),14.4 (57.9),5.4 (41.7),ON
